molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2237985,O=C(/C=C/c1ccco1)c1c(O)c2ccccc2oc1=O,50.0,Active
CHEMBL2234257,COc1cc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)cc(OC)c1OC,50.0,Active
CHEMBL2237984,COc1ccc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)c(OC)c1OC,8.5,Active
CHEMBL2237983,COc1ccc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)cc1OC,6.2,Active
CHEMBL242326,COc1cc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)ccc1O,11.2,Active
CHEMBL2234265,COc1ccc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)cc1,7.2,Active
CHEMBL2234266,Cc1ccc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)cc1,6.1,Active
CHEMBL2234259,CN(C)c1ccc(/C=C/C(=O)c2c(O)c3ccccc3oc2=O)cc1,17.2,Active
CHEMBL2234256,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,3.1,Active
CHEMBL2237990,O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,15.6,Active
CHEMBL2237989,O=C(/C=C/c1ccc(Cl)cc1Cl)c1c(O)c2ccccc2oc1=O,50.0,Active
CHEMBL2237988,O=C(/C=C/c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,5.1,Active
CHEMBL2237987,O=C(/C=C/c1cccc(Cl)c1)c1c(O)c2ccccc2oc1=O,4.2,Active
CHEMBL2237986,O=C(/C=C/c1ccccc1Cl)c1c(O)c2ccccc2oc1=O,50.0,Active
CHEMBL2234263,O=C(/C=C/c1ccccc1)c1c(O)c2ccccc2oc1=O,22.1,Active
CHEMBL1107,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,5.8,Active
CHEMBL217786,CCN(CC)CCCC(C)Nc1ccncc1,12000.0,Inactive
CHEMBL1631,NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,21.0,Active
CHEMBL468610,CCN(CC)Cc1cc(Nc2ccncc2)ccc1O,680.0,Active
CHEMBL1656,CC(CCCN)Nc1ccnc2cc(Cl)ccc12,55.0,Active
CHEMBL343770,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,9.5,Active
CHEMBL510457,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1,42.0,Active
CHEMBL1236,CCNCCCC(C)Nc1ccnc2cc(Cl)ccc12,19.0,Active
CHEMBL448594,CC(CCCN1CCCC1)Nc1ccnc2cc(Cl)ccc12,19.0,Active
CHEMBL1235,CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,6.9,Active
CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,13.0,Active
CHEMBL2263229,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)c(F)c(-c2ccc(Cl)cc2)c1,61.0,Active
CHEMBL316098,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,5.5,Active
CHEMBL1213257,Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1,5.3,Active
CHEMBL375673,Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,1400.0,Intermediate
CHEMBL2263537,O=C(/C=C/c1cc2ccccc2nc1Cl)c1ccc(N2CCOCC2)cc1,17.03,Active
CHEMBL2263536,COc1ccc(/C=C/C(=O)c2ccc(N3CCCCC3)cc2)cc1OC,3.13,Active
CHEMBL2263535,COc1cc(/C=C/C(=O)c2ccc(N3CCCC3)cc2)cc(OC)c1,8.43,Active
CHEMBL2263534,COc1cc(/C=C/C(=O)c2ccc(N3CCCC3)cc2)cc(OC)c1OC,13.0,Active
CHEMBL2259746,COc1cc(/C=C/C(=O)c2ccc(-n3ccnc3)cc2)cc(OC)c1OC,2.48,Active
CHEMBL2263541,COc1cc(/C=C/C(=O)c2ccc(-n3cccc3)cc2)cc(OC)c1OC,2.03,Active
CHEMBL237586,COc1cc(/C=C/C(=O)c2ccc(N3CCNCC3)cc2)cc(OC)c1OC,9.0,Active
CHEMBL2263540,COc1ccc(/C=C/C(=O)c2ccc(-n3cccc3)cc2)cc1,1.61,Active
CHEMBL2263539,COc1ccc(/C=C/C(=O)c2ccc(-n3cncn3)cc2)cc1,4.56,Active
CHEMBL2263538,COc1ccc(/C=C/C(=O)c2ccc(N3CCCC3)cc2)cc1,6.3,Active
CHEMBL2263289,COc1ccc(/C=C/C(=O)c2ccc(N3CCOCC3)cc2)cc1,7.9,Active
CHEMBL3087895,O=C(Nc1ccc(F)cc1)c1c(O)cc(-c2ccccc2)oc1=O,900.0,Active
CHEMBL3087894,O=C(Nc1ccc(Br)cc1)c1c(O)cc(-c2ccccc2)oc1=O,750.0,Active
CHEMBL3087893,Cc1ccc(NC(=O)c2c(O)cc(-c3ccccc3)oc2=O)cc1,1420.0,Intermediate
CHEMBL3087892,COc1ccc(-c2cc(N3CCN(C)CC3)c(C(=O)Nc3ccc(O)cc3)c(=O)o2)cc1,1568.0,Intermediate
CHEMBL3087891,O=C(Nc1ccc(O)cc1)c1c(N2CCCCC2)cc(-c2ccccc2)oc1=O,765.0,Active
CHEMBL3087890,O=C(Nc1ccc(Br)cc1)c1c(N2CCCCC2)cc(-c2ccccc2)oc1=O,337.0,Active
CHEMBL3087889,Cc1ccc(NC(=O)c2c(N3CCCCC3)cc(-c3ccccc3)oc2=O)cc1,859.0,Active
CHEMBL3093745,CC1(CCC(=O)Nc2cccc(N)c2)OOC2(CCCCC2)OO1,101.9,Active
CHEMBL3093744,CC1(CCC(=O)NCCCN2CCN(CCCNC(=O)CCC3(C)OOC4(CCCCC4)OO3)CC2)OOC2(CCCCC2)OO1,47.5,Active
CHEMBL3093743,CC1(CCC(=O)NCc2cccc(CNC(=O)CCC3(C)OOC4(CCCCC4)OO3)c2)OOC2(CCCCC2)OO1,415.5,Active
CHEMBL3093742,CC1(CCC(=O)Nc2ccc(NC(=O)CCC3(C)OOC4(CCCCC4)OO3)cc2)OOC2(CCCCC2)OO1,40.9,Active
CHEMBL3093741,CC1(CCC(=O)Nc2cccc(NC(=O)CCC3(C)OOC4(CCCCC4)OO3)c2)OOC2(CCCCC2)OO1,305.2,Active
CHEMBL3093740,CC1(CCC(=O)NCCCCNC(=O)CCC2(C)OOC3(CCCCC3)OO2)OOC2(CCCCC2)OO1,908.2,Active
CHEMBL3093739,CC1(CCC(=O)NCCCNC(=O)CCC2(C)OOC3(CCCCC3)OO2)OOC2(CCCCC2)OO1,76.5,Active
CHEMBL3093738,CC1(CCC(=O)NCCNC(=O)CCC2(C)OOC3(CCCCC3)OO2)OOC2(CCCCC2)OO1,937.7,Active
CHEMBL3093737,O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCCCCNC(=O)CC1CCC2(CC1)OOC1(CCCCC1)OO2,28.9,Active
CHEMBL3093736,O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCCCNC(=O)CC1CCC2(CC1)OOC1(CCCCC1)OO2,21.3,Active
CHEMBL3093735,O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCCCN1CCN(CCCNC(=O)CC2CCC3(CC2)OOC2(CCCCC2)OO3)CC1,47.1,Active
CHEMBL3093734,O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCc1cccc(CNC(=O)CC2CCC3(CC2)OOC2(CCCCC2)OO3)c1,38.6,Active
CHEMBL3093733,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCCCCNC(=O)CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,11.2,Active
CHEMBL3093732,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCCCNC(=O)CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,4.7,Active
CHEMBL3093731,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCCCN1CCN(CCCNC(=O)CC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)CC1,3.5,Active
CHEMBL3093730,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCc1cccc(CNC(=O)CC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c1,4.0,Active
CHEMBL3093729,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)Nc1ccc(NC(=O)CC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)cc1,58.4,Active
CHEMBL3093728,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)Nc1cccc(NC(=O)CC2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c1,57.2,Active
CHEMBL3093727,O=C(CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3)NCCNC(=O)CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,16.9,Active
CHEMBL3099822,CC(C)(C)n1nnnc1C(NCCCCNc1ccnc2cc(Cl)ccc12)c1ccccc1,2.0,Active
CHEMBL3099821,CC(C)(C)n1nnnc1C(NCCCNc1ccnc2cc(Cl)ccc12)c1ccccc1,2.0,Active
CHEMBL2414256,CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)cc1,2.0,Active
CHEMBL3099820,CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)c(Cl)c1,0.4,Active
CHEMBL3099819,Cc1ccc(C(NCCNc2ccnc3cc(Cl)ccc23)c2nnnn2C(C)(C)C)cc1,1.0,Active
CHEMBL3099818,COc1ccc(C(NCCNc2ccnc3cc(Cl)ccc23)c2nnnn2C(C)(C)C)cc1,3821.0,Intermediate
CHEMBL3098147,CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1,5.0,Active
CHEMBL3103563,CCCCNC(=O)c1ccc(/C=C/C(=O)c2ccc(C)o2)cc1,10000.0,Inactive
CHEMBL3103530,Cc1ccc(C(=O)/C=C/c2ccc(C(N)=O)cc2)o1,10000.0,Inactive
CHEMBL3103564,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCOCC3)cc2)o1,30000.0,Inactive
CHEMBL3103529,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCN(c4ccnc5cc(Cl)ccc45)CC3)cc2)o1,540.0,Active
CHEMBL3103527,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N(C)CCCNc3ccnc4cc(Cl)ccc34)cc2)o1,370.0,Active
CHEMBL3102865,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCOCCOCCNc3ccnc4cc(Cl)ccc34)cc2)o1,260.0,Active
CHEMBL3103566,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCNc3ccnc4cc(Cl)ccc34)cc2)o1,110.0,Active
CHEMBL3103528,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCCN(C)CCCNc3ccnc4cc(Cl)ccc34)cc2)o1,90.0,Active
CHEMBL3103569,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NC(C)CNc3ccnc4cc(Cl)ccc34)cc2)o1,80.0,Active
CHEMBL3103567,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCCNc3ccnc4cc(Cl)ccc34)cc2)o1,70.0,Active
CHEMBL3103526,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCCCCCNc3ccnc4cc(Cl)ccc34)cc2)o1,50.0,Active
CHEMBL3103568,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCCCNc3ccnc4cc(Cl)ccc34)cc2)o1,50.0,Active
CHEMBL2011974,CN1C(=N)NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)C1=O,6880.0,Intermediate
CHEMBL3109527,N=C1NC(c2ccccc2)(c2cccc(OCc3ccccc3)c2)C(=O)N1C1CCCCC1,641.0,Active
CHEMBL3109526,N=C1NC(c2ccccc2)(c2cccc(Oc3ccccc3)c2)C(=O)N1C1CCCCC1,424.0,Active
